Nr similar docs,Nr server docs,Similar voc size,Server voc size,Nr queries,Nr queries known,Nr new known queries,Combined known queries acc,Current refspeed,Dynamic refspeeds,Runtime RefVolScore,Runtime ClusterVolScore,Refined Score attack Acc,Vol Score Acc,Ref Vol Score Acc,Cluster Vol Score Acc
20226,30338,1200,1000,150,4,70,1.0,8,"[1, 1, 1, 1, 1, 7, 5, 9, 10, 2, 6, 10, 5, 7, 4]",6.433634281158447,9.731782674789429,0.9041095890410958,0.5273972602739726,0.9657534246575342,0.9657534246575342
20226,30338,1200,1000,150,4,8,0.8333333333333334,8,"[1, 2, 1, 9, 1, 1, 1, 1, 2, 1, 1, 1, 1, 3, 3, 3, 1, 10, 2, 8, 4, 7, 1, 1, 2, 3, 7, 1, 4, 1, 1, 4, 4, 9, 9, 6, 2, 4, 7]",9.578600406646729,20.519569396972656,0.06164383561643835,0.5136986301369864,0.9383561643835616,0.958904109589041
20226,30338,1200,1000,150,4,111,1.0,8,"[1, 2, 2, 10, 1, 1, 1, 2, 1, 6]",3.6384682655334473,7.234918594360352,0.9246575342465754,0.8082191780821918,0.9931506849315068,0.9931506849315068
20226,30338,1200,1000,150,4,44,1.0,8,"[1, 1, 4, 6, 2, 5, 1, 1, 5, 7, 1, 5, 9, 1, 2, 10, 1, 9, 1, 7, 2, 6, 5, 4]",7.5762128829956055,14.011287212371826,0.9178082191780822,0.3013698630136986,0.9657534246575342,0.9657534246575342
20226,30338,1200,1000,150,4,49,1.0,8,"[1, 1, 10, 2, 7, 7, 1, 1, 1, 9, 4, 1, 9, 3, 5, 7, 9, 3, 10]",7.744431257247925,11.48061466217041,0.952054794520548,0.3424657534246575,0.9657534246575342,0.9657534246575342
20226,30338,1200,1000,150,4,61,0.9538461538461539,8,"[1, 7, 4, 8, 1, 9, 8, 2, 1, 3, 8, 10, 3, 5, 1, 2, 4]",7.122221946716309,11.09785771369934,0.7123287671232876,0.5068493150684932,0.9041095890410958,0.910958904109589
20226,30338,1200,1000,150,4,78,1.0,8,"[3, 3, 4, 6, 2, 6, 1, 2, 1, 1, 10, 1, 6, 3, 1, 2, 5, 6]",5.59963583946228,11.122793674468994,0.9452054794520548,0.5547945205479452,0.9383561643835616,0.9383561643835616
20226,30338,1200,1000,150,4,28,0.9375,8,"[2, 1, 1, 3, 1, 8, 1, 1, 3, 1, 9, 1, 1, 3, 3, 1, 1, 10, 2, 8, 1, 3, 10, 1, 1, 6, 1, 7, 10, 1, 10]",8.14523983001709,17.508211135864258,0.7876712328767124,0.2054794520547945,0.9178082191780822,0.9178082191780822
20226,30338,1200,1000,150,4,64,1.0,8,"[1, 4, 8, 1, 5, 6, 1, 5, 4, 8, 1, 2, 10, 2, 7, 1, 9]",6.566129684448242,10.556895732879639,0.7465753424657534,0.5684931506849316,0.952054794520548,0.958904109589041
20226,30338,1200,1000,150,4,52,0.9464285714285714,8,"[1, 1, 2, 1, 4, 1, 1, 1, 1, 1, 10, 1, 2, 2, 9, 4, 4, 9, 3, 4, 1, 3, 6, 7, 6]",6.9020466804504395,13.705508947372437,0.5616438356164384,0.5547945205479452,0.952054794520548,0.952054794520548
20226,30338,1200,1000,150,4,85,1.0,8,"[1, 4, 2, 10, 1, 8, 1, 1, 4, 9, 2, 8, 3]",5.4557318687438965,8.774508237838745,0.9383561643835616,0.6232876712328768,0.9794520547945206,0.9794520547945206
20226,30338,1200,1000,150,4,42,0.9782608695652174,8,"[1, 1, 1, 2, 9, 1, 3, 1, 2, 9, 1, 4, 2, 4, 1, 1, 1, 3, 7, 4, 5, 5, 8, 5, 7, 1, 6]",8.304229974746704,15.639790534973145,0.910958904109589,0.2945205479452055,0.9657534246575342,0.9726027397260274
20226,30338,1200,1000,150,4,3,0.7142857142857143,8,"[1, 1, 1, 4, 1, 6, 1, 2, 1, 1, 1, 9, 2, 2, 1, 2, 1, 1, 2, 3, 9, 1, 1, 8, 1, 3, 5, 8, 6, 1, 1, 2, 5, 8, 8, 1, 8, 1, 9, 2, 6]",9.904692888259888,22.178670167922974,0.1917808219178082,0.0684931506849315,0.910958904109589,0.910958904109589
20226,30338,1200,1000,150,4,14,1.0,8,"[1, 5, 3, 1, 1, 2, 3, 2, 1, 3, 6, 2, 1, 2, 1, 1, 1, 2, 6, 8, 1, 4, 1, 2, 2, 2, 7, 3, 1, 3, 2, 9, 5, 1, 1, 4, 5, 1, 3, 3, 1, 10]",9.662792444229126,23.134925365447998,0.7671232876712328,0.11643835616438356,0.9863013698630136,0.9794520547945206
